trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,FALSE,"{'a': 0.9, 'e': 0.0001321178491214163}",20,8,22.89925704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,FALSE,"{'a': 0.9, 'e': 0.00012913223140495868}",20,0,27.87349344,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,FALSE,"{'a': 0.9, 'e': 0.00012624668602449185}",20,7,19.94948652,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,FALSE,"{'a': 0.9, 'e': 0.0001234567901234568}",20,11,16.57809555,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,FALSE,"{'a': 0.9, 'e': 0.00012075836251660427}",25,18,13.59021323,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,FALSE,"{'a': 0.9, 'e': 0.00011814744801512288}",30,19,20.49267775,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,FALSE,"{'a': 0.9, 'e': 0.00011562030292519366}",20,13,13.40185739,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,FALSE,"{'a': 0.9, 'e': 0.00011317338162064282}",25,11,23.48684559,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,FALSE,"{'a': 0.9, 'e': 0.00011080332409972299}",35,27,11.96499879,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,FALSE,"{'a': 0.9, 'e': 0.00010850694444444444}",25,0,33.14491913,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,FALSE,"{'a': 0.9, 'e': 0.00010628122010840685}",35,17,34.03487706,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,FALSE,"{'a': 0.9, 'e': 0.00010412328196584757}",20,0,27.08774871,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,FALSE,"{'a': 0.9, 'e': 0.00010203040506070809}",20,9,19.96258016,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,FALSE,"{'a': 0.9, 'e': 0.0001}",25,16,17.34248463,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,FALSE,"{'a': 0.9, 'e': 9.802960494069208e-05}",20,0,35.33050191,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,FALSE,"{'a': 0.9, 'e': 9.611687812379854e-05}",25,13,21.84353436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,FALSE,"{'a': 0.9, 'e': 9.425959091337543e-05}",35,10,38.72483366,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,FALSE,"{'a': 0.9, 'e': 9.245562130177515e-05}",30,9,33.33010178,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,FALSE,"{'a': 0.9, 'e': 9.070294784580499e-05}",20,16,8.620479662,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,FALSE,"{'a': 0.9, 'e': 8.8999644001424e-05}",25,5,31.04699996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,FALSE,"{'a': 0.9, 'e': 8.734387282732117e-05}",25,14,21.37482633,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,FALSE,"{'a': 0.9, 'e': 8.573388203017832e-05}",25,8,25.45092575,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,FALSE,"{'a': 0.9, 'e': 8.416799932665601e-05}",25,0,46.44221605,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,FALSE,"{'a': 0.9, 'e': 8.264462809917356e-05}",25,18,12.00358538,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,FALSE,"{'a': 0.9, 'e': 8.116224332440549e-05}",20,12,1.294090072,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,FALSE,"{'a': 0.9, 'e': 7.971938775510203e-05}",30,9,35.26100509,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,FALSE,"{'a': 0.9, 'e': 7.831466833737959e-05}",25,17,14.83406146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,FALSE,"{'a': 0.9, 'e': 7.694675284702985e-05}",20,7,20.17030944,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,FALSE,"{'a': 0.9, 'e': 7.561436672967863e-05}",20,6,23.29419648,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,FALSE,"{'a': 0.9, 'e': 7.431629013079666e-05}",20,14,11.49421159,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,FALSE,"{'a': 0.9, 'e': 7.305135510263716e-05}",25,8,30.07977925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,FALSE,"{'a': 0.9, 'e': 7.181844297615628e-05}",20,16,8.906706291,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,FALSE,"{'a': 0.9, 'e': 7.06164818868724e-05}",25,19,12.53546683,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,FALSE,"{'a': 0.9, 'e': 6.944444444444444e-05}",25,17,13.56729648,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,FALSE,"{'a': 0.9, 'e': 6.830134553650706e-05}",20,10,14.60353594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,FALSE,"{'a': 0.9, 'e': 6.718624025799516e-05}",30,10,37.23970537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,FALSE,"{'a': 0.9, 'e': 6.609822195782933e-05}",30,0,43.65940183,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,FALSE,"{'a': 0.9, 'e': 6.503642039542144e-05}",30,17,-18.77056987,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,FALSE,"{'a': 0.9, 'e': 6.4e-05}",30,9,16.93533619,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,FALSE,"{'a': 0.9, 'e': 6.298815822625347e-05}",20,3,28.85880957,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,FALSE,"{'a': 0.9, 'e': 6.2000124000248e-05}",20,12,14.39373428,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,FALSE,"{'a': 0.9, 'e': 6.103515625e-05}",20,13,10.65653634,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,FALSE,"{'a': 0.9, 'e': 6.009254251547383e-05}",25,14,19.8257018,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,FALSE,"{'a': 0.9, 'e': 5.9171597633136094e-05}",25,14,16.07229225,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,FALSE,"{'a': 0.9, 'e': 5.8271662490530857e-05}",25,10,24.87217706,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,FALSE,"{'a': 0.9, 'e': 5.73921028466483e-05}",35,7,46.98785003,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,FALSE,"{'a': 0.9, 'e': 5.6532308214144386e-05}",20,15,11.41591817,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,FALSE,"{'a': 0.9, 'e': 5.569169079973268e-05}",35,21,18.65518249,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,FALSE,"{'a': 0.9, 'e': 5.486968449931413e-05}",20,11,15.48503561,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,FALSE,"{'a': 0.9, 'e': 5.406574394463668e-05}",25,3,35.06263051,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,FALSE,"{'a': 0.9, 'e': 5.3279343598486864e-05}",25,0,44.01140401,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,FALSE,"{'a': 0.9, 'e': 5.250997689561016e-05}",20,7,20.03937419,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,FALSE,"{'a': 0.9, 'e': 5.175715542673774e-05}",25,11,21.38333679,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,FALSE,"{'a': 0.9, 'e': 5.102040816326531e-05}",30,8,37.34238755,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,FALSE,"{'a': 0.9, 'e': 5.02992807202857e-05}",30,8,38.00022754,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,FALSE,"{'a': 0.9, 'e': 4.959333465582226e-05}",25,0,42.90094349,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,FALSE,"{'a': 0.9, 'e': 4.8902146804244705e-05}",30,18,21.34520251,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,FALSE,"{'a': 0.9, 'e': 4.8225308641975306e-05}",25,20,6.46865112,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,FALSE,"{'a': 0.9, 'e': 4.756242568370987e-05}",25,12,23.13928198,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,FALSE,"{'a': 0.9, 'e': 4.6913116907487336e-05}",25,3,38.40773272,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,FALSE,"{'a': 0.9, 'e': 4.627701420704336e-05}",20,11,14.11505206,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,FALSE,"{'a': 0.9, 'e': 4.565376186997809e-05}",20,16,7.555545353,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,FALSE,"{'a': 0.9, 'e': 4.504301608035674e-05}",20,6,22.61278223,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,FALSE,"{'a': 0.9, 'e': 4.4444444444444447e-05}",25,20,10.3241901,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,FALSE,"{'a': 0.9, 'e': 4.385772553835358e-05}",30,16,27.09113288,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,FALSE,"{'a': 0.9, 'e': 4.3282548476454294e-05}",30,13,31.00976307,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,FALSE,"{'a': 0.9, 'e': 4.2718612499466016e-05}",20,6,26.04750423,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,FALSE,"{'a': 0.9, 'e': 4.2165626581210996e-05}",20,16,5.774794607,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,FALSE,"{'a': 0.9, 'e': 4.162330905306972e-05}",20,6,22.58112348,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,FALSE,"{'a': 0.9, 'e': 4.10913872452334e-05}",30,16,24.71101531,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,FALSE,"{'a': 0.9, 'e': 4.056959714390036e-05}",25,12,22.63752547,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,FALSE,"{'a': 0.9, 'e': 4.00576830636116e-05}",20,8,21.47433851,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,FALSE,"{'a': 0.9, 'e': 3.955539733396622e-05}",20,0,29.6563562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,TRUE,"{'a': 0, 'e': 0}",20,2,26.78710211,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0, 'e': 0}",20,13,13.98303271,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0, 'e': 0}",20,4,25.40214247,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,TRUE,"{'a': 0, 'e': 0}",20,14,11.09443396,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,TRUE,"{'a': 0, 'e': 0}",25,16,18.70571305,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,TRUE,"{'a': 0, 'e': 0}",20,16,6.629609056,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0, 'e': 0}",35,25,22.81544773,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,TRUE,"{'a': 0, 'e': 0}",30,3,48.73243699,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 0}",25,15,21.1038139,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,TRUE,"{'a': 0, 'e': 0}",30,20,22.61542698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
